,peak transmission
0,6.0
1,6.0
2,8.0
3,10.0
4,8.0
5,10.0
6,8.0
7,7.0
8,6.0
9,7.0
10,8.0
11,6.0
12,7.0
13,7.0
14,8.0
15,8.0
16,7.0
17,7.0
18,6.0
19,10.0
20,7.0
21,5.0
22,8.0
23,7.0
24,7.0
25,7.0
26,9.0
27,9.0
28,5.0
29,8.0
30,10.0
31,10.0
32,7.0
33,5.0
34,10.0
35,9.0
36,8.0
37,9.0
38,7.0
39,8.0
40,7.0
41,8.0
42,7.0
43,8.0
44,4.0
45,7.0
46,8.0
47,7.0
48,7.0
49,7.0
50,8.0
51,7.0
52,4.0
53,8.0
54,7.0
55,8.0
56,7.0
57,6.0
58,9.0
59,5.0
60,6.0
61,6.0
62,7.0
63,7.0
64,6.0
65,6.0
66,6.0
67,7.0
68,6.0
69,6.0
70,8.0
71,6.0
72,5.0
73,10.0
74,11.0
75,8.0
76,12.0
77,6.0
78,5.0
79,7.0
80,5.0
81,10.0
82,6.0
83,13.0
84,8.0
85,8.0
86,8.0
87,5.0
88,6.0
89,4.0
90,7.0
91,6.0
92,5.0
93,6.0
94,4.0
95,7.0
96,7.0
97,8.0
98,5.0
99,10.0
